Trajectory - Seconds: 10.90, States:
State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.30, Y: 2.27), Rotation2d(Rads: 0.01, Deg: 0.39)), Curvature: 0.00), 
State(Sec: 8.54, Vel m/s: 1.68, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.46, Y: 3.52), Rotation2d(Rads: -0.57, Deg: -32.86)), Curvature: -0.01), 
State(Sec: 8.60, Vel m/s: 1.74, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.54, Y: 3.47), Rotation2d(Rads: -0.57, Deg: -32.91)), Curvature: -0.01), 
State(Sec: 8.65, Vel m/s: 1.79, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.63, Y: 3.42), Rotation2d(Rads: -0.58, Deg: -32.95)), Curvature: -0.01), 
State(Sec: 8.71, Vel m/s: 1.85, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.71, Y: 3.36), Rotation2d(Rads: -0.58, Deg: -32.98)), Curvature: -0.01), 
State(Sec: 8.76, Vel m/s: 1.90, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.80, Y: 3.31), Rotation2d(Rads: -0.58, Deg: -33.01)), Curvature: -0.00), 
State(Sec: 8.82, Vel m/s: 1.96, Accel m/s/s: 0.78, Pose: Pose2d(Translation2d(X: 6.88, Y: 3.25), Rotation2d(Rads: -0.58, Deg: -33.04)), Curvature: -0.00), 
State(Sec: 8.87, Vel m/s: 2.00, Accel m/s/s: -0.38, Pose: Pose2d(Translation2d(X: 6.97, Y: 3.19), Rotation2d(Rads: -0.58, Deg: -33.06)), Curvature: -0.00), 
State(Sec: 8.92, Vel m/s: 1.98, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.06, Y: 3.14), Rotation2d(Rads: -0.58, Deg: -33.07)), Curvature: -0.00), 
State(Sec: 8.98, Vel m/s: 1.92, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.15, Y: 3.08), Rotation2d(Rads: -0.58, Deg: -33.09)), Curvature: -0.00), 
State(Sec: 9.03, Vel m/s: 1.87, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.23, Y: 3.02), Rotation2d(Rads: -0.58, Deg: -33.09)), Curvature: -0.00), 
State(Sec: 9.09, Vel m/s: 1.81, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.32, Y: 2.97), Rotation2d(Rads: -0.58, Deg: -33.10)), Curvature: -0.00), 
State(Sec: 9.14, Vel m/s: 1.76, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.40, Y: 2.91), Rotation2d(Rads: -0.58, Deg: -33.10)), Curvature: 0.00), 
State(Sec: 9.20, Vel m/s: 1.70, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.49, Y: 2.86), Rotation2d(Rads: -0.58, Deg: -33.09)), Curvature: 0.00), 
State(Sec: 9.26, Vel m/s: 1.64, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.57, Y: 2.80), Rotation2d(Rads: -0.58, Deg: -33.08)), Curvature: 0.00), 
State(Sec: 9.32, Vel m/s: 1.58, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.65, Y: 2.75), Rotation2d(Rads: -0.58, Deg: -33.07)), Curvature: 0.00), 
State(Sec: 9.38, Vel m/s: 1.52, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.73, Y: 2.70), Rotation2d(Rads: -0.58, Deg: -33.05)), Curvature: 0.00), 
State(Sec: 9.44, Vel m/s: 1.46, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.81, Y: 2.65), Rotation2d(Rads: -0.58, Deg: -33.03)), Curvature: 0.01), 
State(Sec: 9.51, Vel m/s: 1.39, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.88, Y: 2.60), Rotation2d(Rads: -0.58, Deg: -33.00)), Curvature: 0.01), 
State(Sec: 9.57, Vel m/s: 1.33, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.96, Y: 2.55), Rotation2d(Rads: -0.58, Deg: -32.96)), Curvature: 0.01), 
State(Sec: 9.63, Vel m/s: 1.27, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 8.02, Y: 2.51), Rotation2d(Rads: -0.57, Deg: -32.92)), Curvature: 0.01), 
State(Sec: 9.70, Vel m/s: 1.20, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 8.09, Y: 2.46), Rotation2d(Rads: -0.57, Deg: -32.87)), Curvature: 0.01), 
State(Sec: 9.76, Vel m/s: 1.14, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 8.15, Y: 2.42), Rotation2d(Rads: -0.57, Deg: -32.81)), Curvature: 0.02), 
State(Sec: 9.82, Vel m/s: 1.08, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 8.21, Y: 2.39), Rotation2d(Rads: -0.57, Deg: -32.74)), Curvature: 0.02), 
State(Sec: 9.89, Vel m/s: 1.01, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 8.27, Y: 2.35), Rotation2d(Rads: -0.57, Deg: -32.65)), Curvature: 0.03), 
State(Sec: 10.01, Vel m/s: 0.89, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 8.37, Y: 2.29), Rotation2d(Rads: -0.57, Deg: -32.43)), Curvature: 0.04), 
State(Sec: 10.13, Vel m/s: 0.77, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 8.45, Y: 2.23), Rotation2d(Rads: -0.56, Deg: -32.12)), Curvature: 0.07), 
State(Sec: 10.25, Vel m/s: 0.65, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 8.52, Y: 2.19), Rotation2d(Rads: -0.55, Deg: -31.67)), Curvature: 0.13), 
State(Sec: 10.36, Vel m/s: 0.54, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 8.58, Y: 2.15), Rotation2d(Rads: -0.54, Deg: -31.00)), Curvature: 0.24), 
State(Sec: 10.57, Vel m/s: 0.33, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 8.66, Y: 2.11), Rotation2d(Rads: -0.50, Deg: -28.65)), Curvature: 0.81), 
State(Sec: 10.90, Vel m/s: 0.00, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 8.71, Y: 2.08), Rotation2d(Rads: -0.46, Deg: -26.24)), Curvature: -0.00)
