Trajectory - Seconds: 10.44, States:
State(Sec: 0.00, Vel m/s: 0.00, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 0.30, Y: 2.27), Rotation2d(Rads: -0.00, Deg: -0.15)), Curvature: 0.00), 
State(Sec: 8.26, Vel m/s: 1.70, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.52, Y: 2.88), Rotation2d(Rads: -0.27, Deg: -15.53)), Curvature: -0.09), 
State(Sec: 8.30, Vel m/s: 1.74, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.58, Y: 2.86), Rotation2d(Rads: -0.28, Deg: -15.85)), Curvature: -0.08), 
State(Sec: 8.34, Vel m/s: 1.78, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.65, Y: 2.84), Rotation2d(Rads: -0.28, Deg: -16.15)), Curvature: -0.07), 
State(Sec: 8.39, Vel m/s: 1.82, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.72, Y: 2.82), Rotation2d(Rads: -0.29, Deg: -16.43)), Curvature: -0.06), 
State(Sec: 8.43, Vel m/s: 1.86, Accel m/s/s: 1.00, Pose: Pose2d(Translation2d(X: 6.80, Y: 2.80), Rotation2d(Rads: -0.29, Deg: -16.67)), Curvature: -0.05), 
State(Sec: 8.47, Vel m/s: 1.90, Accel m/s/s: 0.63, Pose: Pose2d(Translation2d(X: 6.87, Y: 2.77), Rotation2d(Rads: -0.29, Deg: -16.90)), Curvature: -0.05), 
State(Sec: 8.51, Vel m/s: 1.93, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 6.94, Y: 2.75), Rotation2d(Rads: -0.30, Deg: -17.10)), Curvature: -0.04), 
State(Sec: 8.55, Vel m/s: 1.89, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.02, Y: 2.73), Rotation2d(Rads: -0.30, Deg: -17.29)), Curvature: -0.04), 
State(Sec: 8.59, Vel m/s: 1.85, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.09, Y: 2.70), Rotation2d(Rads: -0.30, Deg: -17.46)), Curvature: -0.04), 
State(Sec: 8.63, Vel m/s: 1.80, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.17, Y: 2.68), Rotation2d(Rads: -0.31, Deg: -17.61)), Curvature: -0.03), 
State(Sec: 8.68, Vel m/s: 1.76, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.24, Y: 2.66), Rotation2d(Rads: -0.31, Deg: -17.74)), Curvature: -0.03), 
State(Sec: 8.72, Vel m/s: 1.71, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.32, Y: 2.63), Rotation2d(Rads: -0.31, Deg: -17.86)), Curvature: -0.03), 
State(Sec: 8.77, Vel m/s: 1.67, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.39, Y: 2.61), Rotation2d(Rads: -0.31, Deg: -17.97)), Curvature: -0.02), 
State(Sec: 8.82, Vel m/s: 1.62, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.47, Y: 2.58), Rotation2d(Rads: -0.32, Deg: -18.06)), Curvature: -0.02), 
State(Sec: 8.86, Vel m/s: 1.57, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.54, Y: 2.56), Rotation2d(Rads: -0.32, Deg: -18.14)), Curvature: -0.02), 
State(Sec: 8.91, Vel m/s: 1.53, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.61, Y: 2.54), Rotation2d(Rads: -0.32, Deg: -18.21)), Curvature: -0.01), 
State(Sec: 8.96, Vel m/s: 1.48, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.68, Y: 2.51), Rotation2d(Rads: -0.32, Deg: -18.26)), Curvature: -0.01), 
State(Sec: 9.01, Vel m/s: 1.43, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.75, Y: 2.49), Rotation2d(Rads: -0.32, Deg: -18.30)), Curvature: -0.01), 
State(Sec: 9.06, Vel m/s: 1.38, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.81, Y: 2.47), Rotation2d(Rads: -0.32, Deg: -18.32)), Curvature: -0.00), 
State(Sec: 9.11, Vel m/s: 1.33, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.88, Y: 2.45), Rotation2d(Rads: -0.32, Deg: -18.33)), Curvature: -0.00), 
State(Sec: 9.16, Vel m/s: 1.27, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 7.94, Y: 2.43), Rotation2d(Rads: -0.32, Deg: -18.33)), Curvature: 0.00), 
State(Sec: 9.27, Vel m/s: 1.17, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 8.06, Y: 2.39), Rotation2d(Rads: -0.32, Deg: -18.27)), Curvature: 0.01), 
State(Sec: 9.37, Vel m/s: 1.07, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 8.17, Y: 2.35), Rotation2d(Rads: -0.32, Deg: -18.14)), Curvature: 0.03), 
State(Sec: 9.47, Vel m/s: 0.96, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 8.27, Y: 2.32), Rotation2d(Rads: -0.31, Deg: -17.92)), Curvature: 0.05), 
State(Sec: 9.57, Vel m/s: 0.86, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 8.36, Y: 2.29), Rotation2d(Rads: -0.31, Deg: -17.59)), Curvature: 0.08), 
State(Sec: 9.68, Vel m/s: 0.76, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 8.44, Y: 2.27), Rotation2d(Rads: -0.30, Deg: -17.10)), Curvature: 0.13), 
State(Sec: 9.77, Vel m/s: 0.66, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 8.51, Y: 2.25), Rotation2d(Rads: -0.29, Deg: -16.44)), Curvature: 0.21), 
State(Sec: 9.87, Vel m/s: 0.57, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 8.56, Y: 2.23), Rotation2d(Rads: -0.27, Deg: -15.54)), Curvature: 0.33), 
State(Sec: 10.07, Vel m/s: 0.37, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 8.65, Y: 2.21), Rotation2d(Rads: -0.23, Deg: -13.06)), Curvature: 0.61), 
State(Sec: 10.44, Vel m/s: 0.00, Accel m/s/s: -1.00, Pose: Pose2d(Translation2d(X: 8.72, Y: 2.19), Rotation2d(Rads: -0.20, Deg: -11.31)), Curvature: -0.00)
